timestamp,open,high,low,close,volume
2025-09-05,651.4800,652.2100,643.3300,647.2400,85178935
2025-09-04,644.4200,649.1500,643.5100,649.1200,65219228
2025-09-03,642.6700,644.2100,640.4600,643.7400,69428091
2025-09-02,637.5000,640.4900,634.9200,640.2700,81983545
2025-08-29,647.4700,647.8400,643.1400,645.0500,74522192
2025-08-28,647.2400,649.4800,645.3400,648.9200,61519461
2025-08-27,644.5700,647.3700,644.4200,646.6300,48341069
2025-08-26,642.2000,645.5100,641.5700,645.1600,51581565
2025-08-25,644.0400,645.2900,642.3500,642.4700,51274332
2025-08-22,637.7600,646.5000,637.2500,645.3100,84083214
2025-08-21,636.2800,637.9700,633.8100,635.5500,54805775
2025-08-20,639.4000,639.6600,632.9500,638.1100,88890298
2025-08-19,643.1200,644.1050,638.4800,639.8100,69750731
2025-08-18,642.8600,644.0000,642.1800,643.3000,43804914
2025-08-15,645.9900,646.0900,642.5153,643.4400,68592507
2025-08-14,642.7900,645.6200,642.3400,644.9500,59327466
2025-08-13,644.9100,646.1900,642.6800,644.8900,60092790
2025-08-12,638.2900,642.8500,636.7900,642.6900,64821798
2025-08-11,637.4600,638.9500,634.6600,635.9200,58742300
2025-08-08,634.0600,637.6450,633.7400,637.1800,64051626
2025-08-07,636.2400,636.9800,629.1100,632.2500,74205791
2025-08-06,629.0500,633.4400,628.1300,632.7800,64357525
2025-08-05,631.7900,632.6052,627.0400,627.9700,68051401
2025-08-04,625.6700,631.2150,625.5800,631.1700,73218015
2025-08-01,626.3000,626.3400,619.2900,621.7200,140103572
2025-07-31,639.4550,639.8500,630.7650,632.0800,103385246
2025-07-30,635.9200,637.6800,631.5400,634.4600,80418851
2025-07-29,638.3500,638.6700,634.3350,635.2600,60556278
2025-07-28,637.4800,638.0400,635.5400,636.9400,54917102
2025-07-25,635.0900,637.5799,634.8400,637.1000,56865364
2025-07-24,634.6000,636.1500,633.9900,634.4200,71307134
2025-07-23,631.5500,634.2100,629.7300,634.2100,70511036
2025-07-22,629.1000,629.7300,626.1900,628.8600,60046288
2025-07-21,628.7700,631.5400,628.3400,628.7700,63374984
2025-07-18,629.3000,629.4700,626.4600,627.5800,65621645
2025-07-17,624.4000,628.4048,624.1800,628.0400,68885683
2025-07-16,623.7400,624.7300,618.0500,624.2200,88987511
2025-07-15,627.5200,627.8600,622.0600,622.1400,74317260
2025-07-14,623.1600,625.1581,621.7999,624.8100,51898518
2025-07-11,622.7400,624.8600,621.5300,623.6200,63670226
2025-07-10,624.2000,626.8701,623.0100,625.8200,57528960
2025-07-09,622.7700,624.7200,620.9105,624.0600,66113326
2025-07-08,621.3500,622.1100,619.5200,620.3400,59024585
2025-07-07,623.3600,624.0300,617.8700,620.6800,74814505
2025-07-03,622.4500,626.2800,622.4300,625.3400,51065789
2025-07-02,617.2400,620.4900,616.6100,620.4500,66510374
2025-07-01,616.3600,618.8300,615.5200,617.6500,70030140
2025-06-30,617.3800,619.2200,615.0400,617.8500,92502541
2025-06-27,612.8800,616.3900,610.8300,614.9100,86258398
2025-06-26,608.9900,612.3100,608.3700,611.8700,78548361
2025-06-25,607.9100,608.6100,605.5400,607.1200,62114767
2025-06-24,604.3300,607.8499,603.4100,606.7800,67735293
2025-06-23,595.0400,600.5400,591.8900,600.1500,87426039
2025-06-20,598.3800,599.4600,592.8600,594.2800,94051374
2025-06-18,598.4400,601.2200,596.4700,597.4400,76605029
2025-06-17,600.2100,601.7500,596.7600,597.5300,82209365
2025-06-16,600.4000,604.4500,600.2200,602.6800,79984125
2025-06-13,598.5000,601.8500,595.4800,597.0000,89505996
2025-06-12,600.0100,603.7500,599.5200,603.7500,64129003
2025-06-11,604.1900,605.0600,599.2700,601.3600,73658225
2025-06-10,600.2200,603.4700,599.0900,603.0800,66246973
2025-06-09,599.7200,601.2500,598.4900,599.6800,53016418
2025-06-06,598.6600,600.8300,596.8600,599.1400,66588743
2025-06-05,597.6300,599.0000,591.0500,593.0500,92436397
2025-06-04,596.9600,597.9500,595.4900,595.9300,57314199
2025-06-03,592.3400,597.0800,591.8500,596.0900,63606204
2025-06-02,587.7600,592.7900,585.0600,592.7100,61630502
2025-05-30,588.9300,591.1299,583.2350,589.3900,90601242
2025-05-29,593.0600,593.2000,586.0700,590.0500,70073758
2025-05-28,591.5600,592.7688,586.9850,587.7300,68445512
2025-05-27,586.0700,591.3100,578.4300,591.1500,72588475
2025-05-23,575.9800,581.8101,575.6000,579.1100,76029046
2025-05-22,582.6600,586.6200,581.4050,583.0900,70860417
2025-05-21,588.4400,592.5800,581.8200,582.8600,95197657
2025-05-20,593.0900,594.0500,589.6000,592.8500,60614492
2025-05-19,588.1000,595.5400,588.1000,594.8500,68168509
2025-05-16,591.2500,594.5000,589.2800,594.2000,76052101
2025-05-15,585.5600,590.9700,585.0969,590.4600,71268145
2025-05-14,587.8100,588.9800,585.5350,587.5900,66283531
2025-05-13,583.4100,589.0800,582.8400,586.8400,67947225
2025-05-12,581.4700,583.0000,577.0400,582.9900,78993570
2025-05-09,566.4800,567.5000,562.7637,564.3400,37603427
2025-05-08,565.2400,570.3100,561.7000,565.0600,65130787
2025-05-07,560.1500,563.8200,556.0400,561.1500,55733229
